threshold,sensitivity,specificity
3.2649999999999997,0.3982712765957447,0.9715329578322424
3.275,0.39694148936170215,0.9715329578322424
3.285,0.3962765957446808,0.9715329578322424
3.295,0.39561170212765956,0.9716090729182524
3.3099999999999996,0.394281914893617,0.9716090729182524
3.325,0.3929521276595745,0.9716851880042624
3.335,0.39228723404255317,0.9716851880042624
3.3499999999999996,0.3916223404255319,0.9716851880042624
3.365,0.39095744680851063,0.9717613030902725
3.38,0.39095744680851063,0.9718374181762826
3.395,0.39095744680851063,0.9719135332622926
3.4050000000000002,0.39095744680851063,0.9719896483483026
3.42,0.39029255319148937,0.9721418785203227
3.435,0.3896276595744681,0.9721418785203227
3.4450000000000003,0.38896276595744683,0.9721418785203227
3.465,0.3882978723404255,0.9721418785203227
3.495,0.38763297872340424,0.9721418785203227
3.5149999999999997,0.386968085106383,0.9721418785203227
3.525,0.3863031914893617,0.9721418785203227
3.535,0.3863031914893617,0.9722179936063328
3.545,0.3863031914893617,0.9722941086923428
3.5549999999999997,0.3863031914893617,0.9723702237783529
3.565,0.3849734042553192,0.9723702237783529
3.575,0.3836436170212766,0.9723702237783529
3.6100000000000003,0.3829787234042553,0.9723702237783529
3.6550000000000002,0.38231382978723405,0.9723702237783529
3.7,0.3816489361702128,0.9723702237783529
3.7350000000000003,0.3803191489361702,0.9724463388643629
3.745,0.3803191489361702,0.972522453950373
3.755,0.3796542553191489,0.972598569036383
3.7699999999999996,0.3796542553191489,0.9726746841223931
3.8,0.3796542553191489,0.9727507992084031
3.825,0.37898936170212766,0.9727507992084031
3.8449999999999998,0.3783244680851064,0.9728269142944131
3.865,0.3783244680851064,0.9729030293804232
3.875,0.3776595744680851,0.9729791444664333
3.8899999999999997,0.3776595744680851,0.9730552595524433
3.9050000000000002,0.37699468085106386,0.9730552595524433
3.915,0.37699468085106386,0.9731313746384533
3.9299999999999997,0.37632978723404253,0.9732074897244634
3.9450000000000003,0.37632978723404253,0.9732836048104735
3.96,0.37632978723404253,0.9733597198964835
3.975,0.37566489361702127,0.9733597198964835
3.99,0.375,0.9734358349824935
4.005,0.375,0.9735119500685036
4.025,0.375,0.9735880651545136
4.045,0.37433510638297873,0.9736641802405237
4.0649999999999995,0.37367021276595747,0.9736641802405237
4.09,0.37300531914893614,0.9737402953265337
4.105,0.3723404255319149,0.9738164104125437
4.115,0.3716755319148936,0.9738164104125437
4.13,0.37101063829787234,0.9738925254985538
4.15,0.3703457446808511,0.9738925254985538
4.165,0.3696808510638298,0.9738925254985538
4.175,0.3683510638297872,0.9738925254985538
4.199999999999999,0.36768617021276595,0.9738925254985538
4.23,0.36768617021276595,0.9739686405845639
4.25,0.36768617021276595,0.9740447556705739
4.265,0.36768617021276595,0.9741208707565839
4.275,0.36768617021276595,0.974196985842594
4.285,0.3670212765957447,0.974196985842594
4.3100000000000005,0.3663563829787234,0.974196985842594
4.34,0.3663563829787234,0.9742731009286041
4.355,0.3650265957446808,0.9743492160146141
4.365,0.3650265957446808,0.9744253311006241
4.375,0.36436170212765956,0.9745775612726443
4.41,0.3636968085106383,0.9745775612726443
4.45,0.36236702127659576,0.9745775612726443
4.465,0.36236702127659576,0.9747297914446643
